Debat;idContribution;Type;Contribution;Cree;idCommentaire;Pour;Contre;Reponse;idAuteur;Auteur;Pseudonyme;Age;CodePostal;Categorie;Email;;sexe;age
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aec667ee860efe9f41434d3;Commentaire;Aucune information de devraient être limitée par la loi, ce n'est pas à l'Etat de dire ce qui est vrai ou faux. Mais aux citoyens de vérifier les sources et la fiabilités des dîtes informations. Cette proposition de loi est liberticide et très dangereuse pour la société. Car par le passé de vrai informations ont été dénoncé comme fausses par nombres de personnes, avant que la justice finisse par se saisir des personnes incriminées par ces informations, en ayant confirmé leurs véracité au préalable. Ce fut notamment le cas pour le financement de la campagne présidentielle de Nicolas Sarkosy par le régime de Mouhamar Qaddafi.;04/05/2018 13:56;5aec667ee860efe9f41434d3;8;10;1;5aec64fce860efe9f41434cc;Masqué;Masqué;18-29;92270;Étudiant-e;Masqué;;Femme;18-29
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aec6ed2e860efe9f41434f3;VoteCommentaire;positive;04/05/2018 14:31;5aec667ee860efe9f41434d3;0;0;0;5aec6e70e860efe9f41434eb;Masqué;Masqué;18-29;91700;Sans activité;Masqué;;Femme;18-29
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aec73aae860efe9f414352b;VoteCommentaire;negative;04/05/2018 14:52;5aec667ee860efe9f41434d3;0;0;0;5aec7364e860efe9f4143520;Masqué;Masqué;;;;Masqué;;Femme;
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aec73cfe860efe9f414352e;Reponse;Non il faut lutter contre les discriminations sexistes dû aux fakes news;04/05/2018 14:53;5aec667ee860efe9f41434d3;0;0;0;5aec7364e860efe9f4143520;Masqué;Masqué;;;;Masqué;;Homme;
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aecb161e860efe9f4143566;VoteCommentaire;positive;04/05/2018 19:15;5aec667ee860efe9f41434d3;0;0;0;5aecad03e860efe9f414355f;Masqué;Masqué;65 ou plus;75005;Retraité-e;Masqué;;Aucun;65 ou plus
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aed78cfe860efe9f41435d0;VoteCommentaire;positive;05/05/2018 09:26;5aec667ee860efe9f41434d3;0;0;0;5ace903e0345c03cebcd622a;Masqué;Masqué;18-29;73000;Sans activité;Masqué;;Homme;18-29
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aeda59be860efe9f41435f9;VoteCommentaire;negative;05/05/2018 12:37;5aec667ee860efe9f41434d3;0;0;0;5aed7dd6e860efe9f41435d9;Masqué;Masqué;65 ou plus;28210;Retraité-e;Masqué;;Homme;65 ou plus
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5aeda59be860efe9f41435fa;VoteCommentaire;negative;05/05/2018 12:37;5aec667ee860efe9f41434d3;0;0;0;5aed7dd6e860efe9f41435d9;Masqué;Masqué;65 ou plus;28210;Retraité-e;Masqué;;Femme;65 ou plus
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5af32a512fb51dcac089619f;VoteCommentaire;positive;09/05/2018 17:05;5aec667ee860efe9f41434d3;0;0;0;5af323b62fb51dcac0896199;Masqué;Masqué;65 ou plus;75016;Profession libérale;Masqué;;Homme;65 ou plus
2. Quelles sont‚ pour vous‚ les fausses informations dont la diffusion doit être limitée par les différentes mesures figurant dans la proposition de loi ? À quels critères doivent-elles répondre ? ;5af4a5fe2fb51dcac089624a;VoteCommentaire;positive;10/05/2018 20:05;5aec667ee860efe9f41434d3;0;0;0;5af4a5b42fb51dcac0896245;Masqué;Masqué;;75012;;Masqué;;Femme;
